"Título","Data","Material de Aula"
"60-Proto Personas ","10/19/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/60-%20Proto%20Personas?csf=1&web=1&e=ClXZpn"
"61-Modelos Mentais e Cenários de Uso ","10/20/2026 3:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/61-%20Modelos%20Mentais%20e%20Cen%C3%A1rios%20de%20Uso?csf=1&web=1&e=j2TNEt"
"62-Entrevistas","10/22/2026 1:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/62-%20Entrevistas?csf=1&web=1&e=SeCepZ"
"63-Metodologia PESTEL ","10/26/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/63-%20Metodologia%20PESTEL?csf=1&web=1&e=tC9EUq"
"64-A pesquisa exploratória e o seu papel na inovação","10/27/2026 3:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/64-%20A%20pesquisa%20explorat%C3%B3ria%20e%20o%20seu%20papel%20na%20inova%C3%A7%C3%A3o?csf=1&web=1&e=xhMOhc"
"65-Jobs to be Done ","10/29/2026 1:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/65-%20Jobs%20to%20be%20Done?csf=1&web=1&e=gbmo69"
"66-Conhecendo os mercados com que vamos trabalhar","11/4/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/66-%20Conhecendo%20os%20mercados%20com%20que%20vamos%20trabalhar?csf=1&web=1&e=e367fG"
"67-Exemplos de Inovação em IA (Cardápio de Ideias)","11/5/2026 1:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/67-%20Exemplos%20de%20Inova%C3%A7%C3%A3o%20em%20IA%20(Card%C3%A1pio%20de%20Ideias)?csf=1&web=1&e=wFTGkG"
"68-O que são tendências e Cool Examples","11/9/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/68-%20O%20que%20s%C3%A3o%20tend%C3%AAncias%20e%20Cool%20Examples?csf=1&web=1&e=V0DHpG"
"69-SCAMPER","11/11/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/69-%20SCAMPER?csf=1&web=1&e=2adpWi"
"70-Systematic Inventive Thinking (SIT) ","11/13/2026 1:00 PM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/70-%20SIT?csf=1&web=1&e=JearYR"
"71-Mashup de Ideias","11/19/2026 10:00 AM","/:f:/r/sites/PPISOFTEX-RESIDNCIATIC/Shared%20Documents/General/71-%20Mashup%20de%20Ideias?csf=1&web=1&e=YjfChi"
